day,nikkei_index,bank_index,yuucho
2022/12/30,"26,094.50	","193.63	","1,128"
2022/11/30,"27,968.99",173.36,"1,051"
2022/10/31,"27,587.46",159.98,990
2022/9/30,"25,937.21",153.42,"1,009"
2022/8/31,"28,091.53",160.05,"1,014"
2022/7/29,"27,801.64",161.22,"1,063"
2022/6/30,"26,393.04",158.6,"1,055"
2022/5/31,"27,279.80",154.2,985
2022/4/28,"26,847.90",159.84,982
2022/3/31,"27,821.43",158.65,985
2022/2/28,"26,526.82",157.6,"1,014"
2022/1/31,"27,001.98",155.63,"1,127"
2021/12/30,"28,791.71",145.43,"1,055"
2021/11/30,"27,821.76",137.51,928
2021/10/29,"28,892.69",142.93,889
2021/9/30,"29,452.66",149.84,960
2021/8/31,"28,089.54",141.67,963
2021/7/30,"27,283.59",137.74,930
2021/6/30,"28,791.53",141.4,933
2021/5/31,"28,860.08",146.76,931
2021/4/30,"28,812.63",140.87,999
2021/3/31,"29,178.80",148.45,"1,064"
2021/2/26,"28,966.01",138.7,"1,014"
2021/1/29,"27,663.39",121.7,904
2020/12/30,"27,444.17",119.38,847
2020/11/30,"26,433.62",119.18,822
2020/10/30,"22,977.13",112.49,831
2020/9/30,"23,185.12",115.69,821
2020/8/31,"23,139.76",121.04,853
2020/7/31,"21,710.00",108.61,786
2020/6/30,"22,288.14",116.07,802
2020/5/29,"21,877.89",119.76,890
2020/4/30,"20,193.69",114.25,999
2020/3/31,"18,917.01",109.53,997
2020/2/28,"21,142.96",131.25,964
2020/1/31,"23,205.18",145.15,"1,016"
2019/12/30,"23,656.62",152.42,"1,050"
2019/11/29,"23,293.91",150.49,"1,060"
2019/10/31,"22,927.04",147.94,"1,082"
2019/9/30,"21,755.84",142.31,"1,047"
2019/8/30,"20,704.37",131.83,968
2019/7/31,"21,521.53",138.73,"1,058"
2019/6/28,"21,275.92",138.83,"1,094"
2019/5/31,"20,601.19",138.49,"1,112"
2019/4/26,"22,258.73",149.42,"1,223"
2019/3/29,"21,205.81",148.43,"1,209"
2019/2/28,"21,385.16",154.12,"1,243"
2019/1/31,"20,773.49",156.24,"1,267"
2018/12/28,"20,014.77",146.73,"1,210"
