datetime,price
22/12/30,193.63
22/11/30,173.36
22/10/31,159.98
22/09/30,153.42
22/08/31,160.05
22/07/29,161.22
22/06/30,158.60
22/05/31,154.20
22/04/28,159.84
22/03/31,158.65
22/02/28,157.60
22/01/31,155.63
21/12/30,145.43
21/11/30,137.51
21/10/29,142.93
21/09/30,149.84
21/08/31,141.67
21/07/30,137.74
21/06/30,141.40
21/05/31,146.76
21/04/30,140.87
21/03/31,148.45
21/02/26,138.70
21/01/29,121.70
20/12/30,119.38
20/11/30,119.18
20/10/30,112.49
20/09/30,115.69
20/08/31,121.04
20/07/31,108.61
20/06/30,116.07
20/05/29,119.76
20/04/30,114.25
20/03/31,109.53
20/02/28,131.25
20/01/31,145.15
19/12/30,152.42
19/11/29,150.49
19/10/31,147.94
19/09/30,142.31
19/08/30,131.83
19/07/31,138.73
19/06/28,138.83
19/05/31,138.49
19/04/26,149.42
19/03/29,148.43
19/02/28,154.12
19/01/31,156.24
18/12/28,146.73
18/11/30,168.75
18/10/31,174.95
18/09/28,184.11
18/08/31,177.34
18/07/31,181.62
18/06/29,172.33
18/05/31,178.75
18/04/27,189.63
18/03/30,181.06
18/02/28,191.91
18/01/31,202.77
17/12/29,203.69
17/11/30,194.80
17/10/31,195.80
17/09/29,186.87
17/08/31,176.19
17/07/31,182.72
17/06/30,191.16
17/05/31,176.32
17/04/28,182.36
17/03/31,180.21
17/02/28,191.42
17/01/31,190.13
16/12/30,189.70
16/11/30,178.97
16/10/31,155.87
16/09/30,144.47
16/08/31,155.85
16/07/29,145.12
16/06/30,129.26
16/05/31,153.59
16/04/28,146.38
16/03/31,146.21
16/02/29,140.21
16/01/29,175.33
15/12/30,206.95
15/11/30,212.18
15/10/30,215.99
15/09/30,200.76
15/08/31,217.30
15/07/31,240.29
15/06/30,235.26
15/05/29,242.91
15/04/30,224.91
15/03/31,203.18
15/02/27,211.17
15/01/30,181.04
14/12/30,188.96
14/11/28,192.72
14/10/31,183.92
14/09/30,181.26
14/08/29,174.28
14/07/31,177.84
14/06/30,178.38
14/05/30,166.55
14/04/30,163.01
14/03/31,170.27
14/02/28,171.82
14/01/31,180.47
13/12/30,196.62
13/11/29,186.80
13/10/31,177.54
13/09/30,180.45
13/08/30,166.57
13/07/31,172.22
13/06/28,174.78
13/05/31,165.84
13/04/30,187.70
13/03/29,164.33
13/02/28,153.43
13/01/31,147.80
12/12/28,131.01
12/11/30,113.95
12/10/31,108.15
12/09/28,108.32
12/08/31,105.92
12/07/31,107.89
12/06/29,111.13
12/05/31,99.05
12/04/27,112.24
12/03/30,120.50
12/02/29,121.07
12/01/31,106.04
11/12/30,100.17
11/11/30,99.42
11/10/31,103.59
11/09/30,107.38
11/08/31,104.55
11/07/29,112.42
11/06/30,113.63
11/05/31,109.67
11/04/28,113.03
11/03/31,116.33
11/02/28,135.25
11/01/31,126.19
10/12/30,127.28
10/11/30,115.33
10/10/29,109.69
10/09/30,113.72
10/08/31,116.51
