datetime,price
22/12/30,"2,321"
22/11/30,"2,287"
22/10/31,"2,197"
22/09/30,"2,026"
22/08/31,"2,132"
22/07/29,"2,146"
22/06/30,"2,171"
22/05/31,"2,126"
22/04/28,"2,105"
22/03/31,"2,136"
22/02/28,"1,974"
22/01/31,"2,005"
21/12/30,"1,850"
21/11/30,"1,758"
21/10/29,"1,850"
21/09/30,"2,037"
21/08/31,"1,995"
21/07/30,"1,938"
21/06/30,"2,054"
21/05/31,"2,100"
21/04/30,"2,106"
21/03/31,"2,274"
21/02/26,"2,179"
21/01/29,"2,053"
20/12/30,"2,112"
20/11/30,"1,740"
20/10/30,"1,650"
20/09/30,"1,651"
20/08/31,"1,694"
20/07/31,"1,396"
20/06/30,"1,413"
20/05/29,"1,368"
20/04/30,"1,382"
20/03/31,"1,341"
20/02/28,"1,657"
20/01/31,"1,853"
19/12/30,"1,862"
19/11/29,"1,883"
19/10/31,"1,714"
19/09/30,"1,630"
19/08/30,"1,526"
19/07/31,"1,818"
19/06/28,"1,997"
19/05/31,"2,072"
19/04/26,"2,245"
19/03/29,"2,395"
19/02/28,"2,519"
19/01/31,"2,482"
18/12/28,"2,547"
18/11/30,"2,865"
18/10/31,"2,691"
18/09/28,"2,693"
18/08/31,"2,494"
18/07/31,"2,373"
18/06/29,"2,278"
18/05/31,"2,423"
18/04/27,"2,692"
18/03/30,"2,495"
18/02/28,"2,710"
18/01/31,"2,885"
17/12/29,"2,653"
17/11/30,"2,446"
17/10/31,"2,447"
17/09/29,"2,411"
17/08/31,"2,368"
17/07/31,"2,425"
17/06/30,"2,478"
17/05/31,"2,377"
17/04/28,"2,538"
17/03/31,"2,551"
17/02/28,"2,708"
17/01/31,"2,585"
16/12/30,"2,503"
16/11/30,"2,309"
16/10/31,"2,202"
16/09/30,"2,198"
16/08/31,"2,186"
16/07/29,"2,232"
16/06/30,"2,091"
16/05/31,"2,491"
16/04/28,"2,523"
16/03/31,"2,601"
16/02/29,"2,474"
16/01/29,"2,742"
15/12/30,"3,115"
15/11/30,"3,360"
