datetime,price
22/12/30,"26,094.50"
22/11/30,"27,968.99"
22/10/31,"27,587.46"
22/09/30,"25,937.21"
22/08/31,"28,091.53"
22/07/29,"27,801.64"
22/06/30,"26,393.04"
22/05/31,"27,279.80"
22/04/28,"26,847.90"
22/03/31,"27,821.43"
22/02/28,"26,526.82"
22/01/31,"27,001.98"
21/12/30,"28,791.71"
21/11/30,"27,821.76"
21/10/29,"28,892.69"
21/09/30,"29,452.66"
21/08/31,"28,089.54"
21/07/30,"27,283.59"
21/06/30,"28,791.53"
21/05/31,"28,860.08"
21/04/30,"28,812.63"
21/03/31,"29,178.80"
21/02/26,"28,966.01"
21/01/29,"27,663.39"
20/12/30,"27,444.17"
20/11/30,"26,433.62"
20/10/30,"22,977.13"
20/09/30,"23,185.12"
20/08/31,"23,139.76"
20/07/31,"21,710.00"
20/06/30,"22,288.14"
20/05/29,"21,877.89"
20/04/30,"20,193.69"
20/03/31,"18,917.01"
20/02/28,"21,142.96"
20/01/31,"23,205.18"
19/12/30,"23,656.62"
19/11/29,"23,293.91"
19/10/31,"22,927.04"
19/09/30,"21,755.84"
19/08/30,"20,704.37"
19/07/31,"21,521.53"
19/06/28,"21,275.92"
19/05/31,"20,601.19"
19/04/26,"22,258.73"
19/03/29,"21,205.81"
19/02/28,"21,385.16"
19/01/31,"20,773.49"
18/12/28,"20,014.77"
18/11/30,"22,351.06"
18/10/31,"21,920.46"
18/09/28,"24,120.04"
18/08/31,"22,865.15"
18/07/31,"22,553.72"
18/06/29,"22,304.51"
18/05/31,"22,201.82"
18/04/27,"22,467.87"
18/03/30,"21,454.30"
18/02/28,"22,068.24"
18/01/31,"23,098.29"
17/12/29,"22,764.94"
17/11/30,"22,724.96"
17/10/31,"22,011.61"
17/09/29,"20,356.28"
17/08/31,"19,646.24"
17/07/31,"19,925.18"
17/06/30,"20,033.43"
17/05/31,"19,650.57"
17/04/28,"19,196.74"
17/03/31,"18,909.26"
17/02/28,"19,118.99"
17/01/31,"19,041.34"
16/12/30,"19,114.37"
16/11/30,"18,308.48"
16/10/31,"17,425.02"
16/09/30,"16,449.84"
16/08/31,"16,887.40"
16/07/29,"16,569.27"
16/06/30,"15,575.92"
16/05/31,"17,234.98"
16/04/28,"16,666.05"
16/03/31,"16,758.67"
16/02/29,"16,026.76"
16/01/29,"17,518.30"
15/12/30,"19,033.71"
15/11/30,"19,747.47"
15/10/30,"19,083.10"
15/09/30,"17,388.15"
15/08/31,"18,890.48"
15/07/31,"20,585.24"
15/06/30,"20,235.73"
15/05/29,"20,563.15"
15/04/30,"19,520.01"
15/03/31,"19,206.99"
15/02/27,"18,797.94"
15/01/30,"17,674.39"
14/12/30,"17,450.77"
14/11/28,"17,459.85"
14/10/31,"16,413.76"
14/09/30,"16,173.52"
14/08/29,"15,424.59"
14/07/31,"15,620.77"
14/06/30,"15,162.10"
14/05/30,"14,632.38"
14/04/30,"14,304.11"
14/03/31,"14,827.83"
14/02/28,"14,841.07"
14/01/31,"14,914.53"
13/12/30,"16,291.31"
13/11/29,"15,661.87"
13/10/31,"14,327.94"
13/09/30,"14,455.80"
13/08/30,"13,388.86"
13/07/31,"13,668.32"
13/06/28,"13,677.32"
13/05/31,"13,774.54"
13/04/30,"13,860.86"
13/03/29,"12,397.91"
13/02/28,"11,559.36"
13/01/31,"11,138.66"
12/12/28,"10,395.18"
12/11/30,"9,446.01"
12/10/31,"8,928.29"
12/09/28,"8,870.16"
12/08/31,"8,839.91"
12/07/31,"8,695.06"
12/06/29,"9,006.78"
12/05/31,"8,542.73"
12/04/27,"9,520.89"
12/03/30,"10,083.56"
12/02/29,"9,723.24"
12/01/31,"8,802.51"
11/12/30,"8,455.35"
11/11/30,"8,434.61"
11/10/31,"8,988.39"
11/09/30,"8,700.29"
11/08/31,"8,955.20"
11/07/29,"9,833.03"
11/06/30,"9,816.09"
11/05/31,"9,693.73"
11/04/28,"9,849.74"
11/03/31,"9,755.10"
11/02/28,"10,624.09"
11/01/31,"10,237.92"
10/12/30,"10,228.92"
10/11/30,"9,937.04"
10/10/29,"9,202.45"
10/09/30,"9,369.35"
10/08/31,"8,824.06"
