datetime,price
22/12/30,"5,644"
22/11/30,"5,952"
22/10/31,"6,400"
22/09/30,"4,900"
22/08/31,"5,562"
22/07/29,"5,605"
22/06/30,"5,235"
22/05/31,"5,379"
22/04/28,"5,269"
22/03/31,"5,559"
22/02/28,"5,125"
22/01/31,"5,011"
21/12/30,"5,434"
21/11/30,"6,030"
21/10/29,"6,164"
21/09/30,"6,480"
21/08/31,"6,181"
21/07/30,"6,837"
21/06/30,"7,775"
21/05/31,"8,256"
21/04/30,"9,885"
21/03/31,"9,330"
21/02/26,"9,895"
21/01/29,"8,108"
20/12/30,"8,058"
20/11/30,"7,272"
20/10/30,"6,793"
20/09/30,"6,469"
20/08/31,"6,598"
20/07/31,"6,595"
20/06/30,"5,450"
20/05/29,"4,832"
20/04/30,"4,633"
20/03/31,"3,788"
20/02/28,"5,013"
20/01/31,"4,524"
19/12/30,"4,756"
19/11/29,"4,253"
19/10/31,"4,190"
19/09/30,"4,240"
19/08/30,"4,824"
19/07/31,"5,628"
19/06/28,"5,165"
19/05/31,"5,125"
19/04/26,"5,777"
19/03/29,"5,372"
19/02/28,"5,140"
19/01/31,"4,263"
18/12/28,"3,652"
18/11/30,"4,763"
18/10/31,"4,524"
18/09/28,"5,735"
18/08/31,"5,150"
18/07/31,"4,630"
18/06/29,"3,986"
18/05/31,"3,882"
18/04/27,"4,250"
18/03/30,"3,975"
18/02/28,"4,447"
18/01/31,"4,490"
17/12/29,"4,460"
17/11/30,"4,742"
17/10/31,"4,973"
17/09/29,"4,542"
17/08/31,"4,461"
17/07/31,"4,479"
17/06/30,"4,548"
17/05/31,"4,501"
17/04/28,"4,221"
17/03/31,"3,931"
17/02/28,"4,181"
17/01/31,"4,350"
16/12/30,"3,882"
16/11/30,"3,356"
16/10/31,"3,301"
16/09/30,"3,261"
16/08/31,"3,378"
16/07/29,"2,851"
16/06/30,"2,894"
16/05/31,"3,114"
16/04/28,"2,994"
16/03/31,"2,683"
16/02/29,"2,787"
16/01/29,"2,632"
15/12/30,"3,069"
15/11/30,"3,268"
15/10/30,"3,398"
15/09/30,"2,738"
15/08/31,"3,531"
15/07/31,"3,440"
15/06/30,"3,604"
15/05/29,"3,723"
15/04/30,"3,752"
15/03/31,"3,490"
15/02/27,"3,683"
15/01/30,"3,481"
14/12/30,"3,605"
14/11/28,"3,981"
14/10/31,"3,969"
14/09/30,"3,844"
14/08/29,"3,753"
14/07/31,"3,786"
14/06/30,"3,771"
14/05/30,"3,672"
14/04/30,"3,795"
14/03/31,"3,900"
14/02/28,"3,834"
14/01/31,"3,781"
13/12/30,"4,600"
13/11/29,"4,145"
13/10/31,"3,650"
13/09/30,"3,395"
13/08/30,"3,095"
13/07/31,"3,120"
13/06/28,"2,895"
13/05/31,"2,585"
13/04/30,"2,412"
13/03/29,"2,170"
13/02/28,"1,717"
13/01/31,"1,630"
12/12/28,"1,570"
12/11/30,"1,545"
12/10/31,"1,263"
12/09/28,"1,580"
12/08/31,"1,595"
12/07/31,"1,502"
12/06/29,"1,476"
12/05/31,"1,225"
12/04/27,"1,198"
12/03/30,"1,223"
12/02/29,"1,210"
12/01/31,"1,061"
11/12/30,"1,133"
11/11/30,"1,273"
11/10/31,"1,294"
11/09/30,"1,146"
11/08/31,"1,263"
11/07/29,"1,505"
11/06/30,"1,515"
11/05/31,"1,572"
11/04/28,"1,695"
11/03/31,"1,660"
11/02/28,"1,677"
11/01/31,"1,411"
10/12/30,"1,405"
10/11/30,"1,450"
10/10/29,"1,295"
10/09/30,"1,365"
10/08/31,"1,205"
