datetime,price
22/12/30,"1,128"
22/11/30,"1,051"
22/10/31,990
22/09/30,"1,009"
22/08/31,"1,014"
22/07/29,"1,063"
22/06/30,"1,055"
22/05/31,985
22/04/28,982
22/03/31,985
22/02/28,"1,014"
22/01/31,"1,127"
21/12/30,"1,055"
21/11/30,928
21/10/29,889
21/09/30,960
21/08/31,963
21/07/30,930
21/06/30,933
21/05/31,931
21/04/30,999
21/03/31,"1,064"
21/02/26,"1,014"
21/01/29,904
20/12/30,847
20/11/30,822
20/10/30,831
20/09/30,821
20/08/31,853
20/07/31,786
20/06/30,802
20/05/29,890
20/04/30,999
20/03/31,997
20/02/28,964
20/01/31,"1,016"
19/12/30,"1,050"
19/11/29,"1,060"
19/10/31,"1,082"
19/09/30,"1,047"
19/08/30,968
19/07/31,"1,058"
19/06/28,"1,094"
19/05/31,"1,112"
19/04/26,"1,223"
19/03/29,"1,209"
19/02/28,"1,243"
19/01/31,"1,267"
18/12/28,"1,210"
18/11/30,"1,326"
18/10/31,"1,317"
18/09/28,"1,343"
18/08/31,"1,298"
18/07/31,"1,341"
18/06/29,"1,290"
18/05/31,"1,361"
18/04/27,"1,488"
18/03/30,"1,428"
18/02/28,"1,466"
18/01/31,"1,473"
17/12/29,"1,467"
17/11/30,"1,427"
17/10/31,"1,431"
17/09/29,"1,390"
17/08/31,"1,400"
17/07/31,"1,418"
17/06/30,"1,438"
17/05/31,"1,374"
17/04/28,"1,387"
17/03/31,"1,381"
17/02/28,"1,408"
17/01/31,"1,375"
16/12/30,"1,403"
16/11/30,"1,349"
16/10/31,"1,238"
16/09/30,"1,195"
16/08/31,"1,216"
16/07/29,"1,262"
16/06/30,"1,199"
16/05/31,"1,326"
16/04/28,"1,345"
16/03/31,"1,385"
16/02/29,"1,224"
16/01/29,"1,472"
15/12/30,"1,750"
15/11/30,"1,740"
