date,AverageBalance/Domestic_Interest-earning assets,AverageBalance/Domestic_Loans,AverageBalance/Domestic_Securities,"AverageBalance/Domestic_Due from banks, etc.",AverageBalance/Domestic_Interest-bearing liabilities,AverageBalance/Domestic_Deposits,AverageBalance/Domestic_Payables under securities lending transactions,AverageBalance/Overseas_Interest-earning assets,AverageBalance/Overseas_Loans,AverageBalance/Overseas_Securities,"AverageBalance/Overseas_Due from banks, etc.",AverageBalance/Overseas_Interest-bearing liabilities,AverageBalance/Overseas_Payables under securities lending transactions,AverageBalance/Total_Interest-earning assets,AverageBalance/Total_Loans,AverageBalance/Total_Securities,"AverageBalance/Total_Due from banks, etc.",AverageBalance/Total_Interest-bearing liabilities,AverageBalance/Total_Deposits,AverageBalance/Total_Payables under securities lending transactions,Interest/Domestic_Interest-earning assets,Interest/Domestic_Loans,Interest/Domestic_Securities,"Interest/Domestic_Due from banks, etc.",Interest/Domestic_Interest-bearing liabilities,Interest/Domestic_Deposits,Interest/Domestic_Payables under securities lending transactions,Interest/Overseas_Interest-earning assets,Interest/Overseas_Loans,Interest/Overseas_Securities,"Interest/Overseas_Due from banks, etc.",Interest/Overseas_Interest-bearing liabilities,Interest/Overseas_Payables under securities lending transactions,Interest/Total_Interest-earning assets,Interest/Total_Loans,Interest/Total_Securities,"Interest/Total_Due from banks, etc.",Interest/Total_Interest-bearing liabilities,Interest/Total_Deposits,Interest/Total_Payables under securities lending transactions,Earnings Yield/Domestic_Interest-earning assets,Earnings Yield/Domestic_Loans,Earnings Yield/Domestic_Securities,"Earnings Yield/Domestic_Due from banks, etc.",Earnings Yield/Domestic_Interest-bearing liabilities,Earnings Yield/Domestic_Deposits,Earnings Yield/Domestic_Payables under securities lending transactions,Earnings Yield/Overseas_Interest-earning assets,Earnings Yield/Overseas_Loans,Earnings Yield/Overseas_Securities,"Earnings Yield/Overseas_Due from banks, etc.",Earnings Yield/Overseas_Interest-bearing liabilities,Earnings Yield/Overseas_Payables under securities lending transactions,Earnings Yield/Total_Interest-earning assets,Earnings Yield/Total_Loans,Earnings Yield/Total_Securities,"Earnings Yield/Total_Due from banks, etc.",Earnings Yield/Total_Interest-bearing liabilities,Earnings Yield/Total_Deposits,Earnings Yield/Total_Payables under securities lending transactions,Average balance of money held in trust,Average balance corresponding to money held in trust ,Corresponding interest,"For investment trusts, the distribution of profits, which was deducted from the book value as the repayment of principal, is indicated in the right-hand table."
2015/9/30,192047937,2729117,116727346,34831682,184096604,177712386,8713871,37700302,1929,36599991,1042578,34859712,5596389,200599151,2731047,153327338,35874261,189807228,177712386,14310261,675316,13220,584430,16783,138823,118218,4024,263135,4,260526,2515,100198,10182,881872,13224,844957,19298,182442,118218,14207,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,2349941,2349941,4561,19332
2016/3/31,192120047,2681909,109010368,39310383,184078165,177868069,8650599,40910445,2614,40072765,777583,38370177,5500853,200500267,2684524,149083133,40087966,189918117,177868069,14151453,1248620,25091,1116543,35624,278032,232795,7337,545998,11,541079,4704,155520,25895,1731217,25103,1657623,40329,370151,232795,33233,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,2450837,2450837,4776,61984
2016/9/30,193355723,2528481,95287659,47323916,184383908,178830935,8200442,45803875,3300,45654017,83245,45175128,4547288,199167228,2531781,140941677,47407161,189566667,178830935,12747730,580150,9393,486157,12187,123653,104999,406,288790,5,288181,488,115982,17279,797269,9399,774338,12676,167964,104999,17686,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,2647805,2647805,4745,426
2017/3/31,193991919,3081133,92901349,47723014,184991156,179251855,8385284,48252687,2151,48099311,81553,47375519,4674255,200321045,3083285,141000661,47804568,190443114,179251855,13059539,1046541,17741,926690,24916,242503,200373,844,596691,7,595384,968,177183,40697,1567512,17748,1522075,25885,343966,200373,41542,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,2646250,2646250,4779,900
2017/9/30,194888309,4051668,83794070,53043130,186230810,180189097,8773692,51892842,81,51709631,79637,50719964,4075448,201314127,4051750,135503701,53122767,191483750,180189097,12849140,482155,7239,384237,11552,99762,80980,529,377452,0,376557,537,141783,25561,781220,7239,760795,12090,163158,80980,26090,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,2742475,2742475,4728,4644
2018/3/31,195014321,4765201,82402056,51583059,186524351,180316482,8903813,54248055,2534,54067069,68461,53171677,3995938,201467351,4767735,136469126,51651521,191901004,180316482,12899752,852033,14008,730011,25115,186280,145129,1285,732171,10,730365,1019,222232,53987,1502747,14019,1460377,26135,327056,145129,55272,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,2772856,2772856,4725,14461
2018/9/30,194287761,6540168,78738136,49858459,186503726,180944300,8341119,57362740,5000,57245971,14023,56639738,2859308,200097163,6545168,135984108,49872483,191590127,180944300,11200427,434376,6259,321288,15124,63836,47152,644,372777,10,372096,121,194182,29769,716116,6269,693384,15245,166981,47152,30414,0,0,1,0,0,0,0,1,0,1,2,1,2,1,0,1,0,0,0,1,3005541,3005541,5307,29461
2019/3/31,194710207,6090997,77703674,49543054,187129472,181227650,6057199,59119568,5000,59005163,8801,58418073,2619354,200414539,6095997,136708838,49551855,192132309,181227650,8676554,752825,12072,615038,30905,114900,80834,1013,700201,20,698775,164,322000,59283,1357985,12093,1313813,31069,341859,80834,60297,0,0,1,0,0,0,0,1,0,1,2,1,2,1,0,1,0,0,0,1,2977608,2977608,5298,80783
2019/9/30,197309717,5063261,73052033,52923230,189969911,182623839,128841,61705949,7131,61590570,2526,61635917,2375577,202377177,5070392,134642604,52925757,194967339,182623839,2504418,378281,5625,262889,14522,40518,28952,64,386547,18,385566,29,222470,28902,667413,5643,648456,14552,165573,28952,28967,0,0,1,0,0,0,0,1,1,1,2,1,2,1,0,1,0,0,0,2,2977202,2977202,5120,34313
2020/3/31,198026308,4947212,71842673,52928370,190695746,183018232,229198,63366957,10868,63239883,1263,63324744,2240788,203590095,4958081,135082556,52929633,196217319,183018232,2469986,629096,11056,492509,28874,79358,55096,229,789429,57,787476,29,362345,49376,1318014,11113,1279986,28904,341193,55096,49605,0,0,1,0,0,0,0,1,1,1,2,1,2,1,0,1,0,0,0,2,3129526,3129526,5441,60511
