datetime,price
22/12/30,"1,109.5"
22/11/30,"1,078.0"
22/10/31,999.6
22/09/30,957.7
22/08/31,961.3
22/07/29,956.3
22/06/30,969.1
22/05/31,959.6
22/04/28,911.5
22/03/31,898.4
22/02/28,954.1
22/01/31,978.6
21/12/30,896.8
21/11/30,856.0
21/10/29,875.0
21/09/30,944.6
21/08/31,944.3
21/07/30,929.1
21/06/30,910.3
21/05/31,910.8
21/04/30,917.6
21/03/31,986.7
21/02/26,910.6
21/01/29,831.9
20/12/30,802.8
20/11/30,772.7
20/10/30,714.9
20/09/30,715.8
20/08/31,783.7
20/07/31,717.3
20/06/30,766.7
20/05/29,784.1
20/04/30,864.8
20/03/31,845.7
20/02/28,940.7
20/01/31,996.3
19/12/30,"1,026.0"
19/11/29,"1,029.0"
19/10/31,996.0
19/09/30,995.0
19/08/30,966.0
19/07/31,"1,068.0"
19/06/28,"1,220.0"
19/05/31,"1,202.0"
19/04/26,"1,243.0"
19/03/29,"1,296.0"
19/02/28,"1,355.0"
19/01/31,"1,337.0"
18/12/28,"1,265.0"
18/11/30,"1,382.0"
18/10/31,"1,340.0"
18/09/28,"1,352.0"
18/08/31,"1,320.0"
18/07/31,"1,232.0"
18/06/29,"1,213.0"
18/05/31,"1,247.0"
18/04/27,"1,330.0"
18/03/30,"1,281.0"
18/02/28,"1,291.0"
18/01/31,"1,302.0"
17/12/29,"1,292.0"
17/11/30,"1,292.0"
17/10/31,"1,308.0"
17/09/29,"1,329.0"
17/08/31,"1,366.0"
17/07/31,"1,391.0"
17/06/30,"1,394.0"
17/05/31,"1,352.0"
17/04/28,"1,381.0"
17/03/31,"1,397.0"
17/02/28,"1,441.0"
17/01/31,"1,420.0"
16/12/30,"1,459.0"
16/11/30,"1,417.0"
16/10/31,"1,338.0"
16/09/30,"1,263.0"
16/08/31,"1,355.0"
16/07/29,"1,363.0"
16/06/30,"1,241.0"
16/05/31,"1,433.0"
16/04/28,"1,485.0"
16/03/31,"1,502.0"
16/02/29,"1,437.0"
16/01/29,"1,595.0"
15/12/30,"1,865.0"
15/11/30,"1,907.0"
